player,tournament_id,round,score
Max Homa,401465496,1,65.0
Danny Willett,401465496,1,68.0
Taylor Montgomery,401465496,1,68.0
Byeong Hun An,401465496,1,66.0
Justin Lower,401465496,1,63.0
Nick Taylor,401465496,1,67.0
Rickie Fowler,401465496,1,67.0
Sahith Theegala,401465496,1,67.0
Harris English,401465496,1,71.0
Brendon Todd,401465496,1,71.0
Davis Thompson,401465496,1,68.0
Thomas Detry,401465496,1,69.0
Tom Hoge,401465496,1,69.0
Joseph Bramlett,401465496,1,68.0
Zac Blair,401465496,1,70.0
Brian Stuard,401465496,1,68.0
Harrison Endycott,401465496,1,72.0
Paul Haley II,401465496,1,73.0
Adam Svensson,401465496,1,68.0
Matt Kuchar,401465496,1,68.0
Matt Wallace,401465496,1,70.0
Robby Shelton,401465496,1,67.0
Zecheng Dou,401465496,1,71.0
Mark Hubbard,401465496,1,70.0
Hideki Matsuyama,401465496,1,69.0
Cameron Percy,401465496,1,74.0
Emiliano Grillo,401465496,1,67.0
Beau Hossler,401465496,1,70.0
Russell Knox,401465496,1,70.0
Jimmy Walker,401465496,1,70.0
Denny McCarthy,401465496,1,71.0
Ben Taylor,401465496,1,69.0
Kramer Hickok,401465496,1,71.0
Mackenzie Hughes,401465496,1,70.0
Austin Smotherman,401465496,1,71.0
Aaron Baddeley,401465496,1,73.0
Alex Noren,401465496,1,72.0
Brandon Hagy,401465496,1,69.0
Will Gordon,401465496,1,70.0
Vincent Norrman,401465496,1,70.0
S.H. Kim,401465496,1,66.0
Taylor Moore,401465496,1,68.0
Andrew Putnam,401465496,1,72.0
Brice Garnett,401465496,1,67.0
Chris Stroud,401465496,1,69.0
Stephan Jaeger,401465496,1,69.0
Alex Smalley,401465496,1,70.0
Wyndham Clark,401465496,1,72.0
Scott Harrington,401465496,1,67.0
Chris Kirk,401465496,1,74.0
Greyson Sigg,401465496,1,67.0
Chris Gotterup,401465496,1,73.0
Matthias Schwab,401465496,1,70.0
James Hahn,401465496,1,71.0
Jacob Bridgeman,401465496,1,70.0
Nate Lashley,401465496,1,72.0
Andrew Landry,401465496,1,70.0
Adam Schenk,401465496,1,69.0
Matti Schmid,401465496,1,67.0
J.J. Spaun,401465496,1,66.0
