player,tournament_id,round,score
Stewart Cink,401219793,1,67.0
Harry Higgs,401219793,1,69.0
Doc Redman,401219793,1,70.0
Chez Reavie,401219793,1,67.0
Kevin Streelman,401219793,1,72.0
Brian Stuard,401219793,1,67.0
Kris Ventura,401219793,1,69.0
Sam Burns,401219793,1,64.0
J.J. Spaun,401219793,1,70.0
Akshay Bhatia,401219793,1,66.0
Pat Perez,401219793,1,65.0
Russell Knox,401219793,1,63.0
James Hahn,401219793,1,68.0
Chesson Hadley,401219793,1,70.0
Michael Gligic,401219793,1,70.0
Bud Cauley,401219793,1,68.0
David Hearn,401219793,1,69.0
Sepp Straka,401219793,1,70.0
Sahith Theegala,401219793,1,71.0
Xinjun Zhang,401219793,1,69.0
Doug Ghim,401219793,1,67.0
D.J. Trahan,401219793,1,67.0
Beau Hossler,401219793,1,73.0
Vince Whaley,401219793,1,69.0
Nelson Ledesma,401219793,1,69.0
Charl Schwartzel,401219793,1,68.0
Ricky Barnes,401219793,1,69.0
Cameron Percy,401219793,1,64.0
Harold Varner III,401219793,1,67.0
Branden Grace,401219793,1,68.0
Bo Hoag,401219793,1,64.0
Jason Dufner,401219793,1,70.0
Brendan Steele,401219793,1,65.0
Tom Hoge,401219793,1,66.0
Emiliano Grillo,401219793,1,69.0
Cam Davis,401219793,1,71.0
Mark Anderson,401219793,1,68.0
Andrew Putnam,401219793,1,70.0
Rob Oppenheim,401219793,1,68.0
Anirban Lahiri,401219793,1,74.0
Scott Harrington,401219793,1,66.0
Ben Taylor,401219793,1,69.0
Tim Wilkinson,401219793,1,67.0
Si Woo Kim,401219793,1,70.0
Phil Mickelson,401219793,1,71.0
Nick Watney,401219793,1,72.0
Patrick Rodgers,401219793,1,67.0
Jim Furyk,401219793,1,72.0
J.B. Holmes,401219793,1,70.0
Kyle Stanley,401219793,1,70.0
Carlos Ortiz,401219793,1,67.0
Austin Cook,401219793,1,68.0
Joel Dahmen,401219793,1,71.0
Ryan Blaum,401219793,1,71.0
Jhonattan Vegas,401219793,1,70.0
Kevin Chappell,401219793,1,69.0
Hudson Swafford,401219793,1,70.0
Charley Hoffman,401219793,1,67.0
Jamie Lovemark,401219793,1,69.0
Isaiah Salinda,401219793,1,71.0
C.T. Pan,401219793,1,69.0
Adam Schenk,401219793,1,68.0
Will Gordon,401219793,1,72.0
Jonathan Byrd,401219793,1,69.0
Lucas Glover,401219793,1,69.0
Luke List,401219793,1,70.0
William McGirt,401219793,1,69.0
Tom Kim,401219793,1,67.0
Brandon Hagy,401219793,1,69.0
Brice Garnett,401219793,1,69.0
Andy Zhang,401219793,1,66.0
MJ Daffue,401219793,1,71.0
Rhein Gibson,401219793,1,73.0
Roger Sloan,401219793,1,73.0
Grayson Murray,401219793,1,73.0
Aaron Baddeley,401219793,1,72.0
Ted Potter Jr.,401219793,1,72.0
Josh Teater,401219793,1,71.0
Chris Stroud,401219793,1,70.0
Chris Baker,401219793,1,70.0
Maverick McNealy,401219793,1,69.0
Sean O'Hair,401219793,1,69.0
Keegan Bradley,401219793,1,68.0
Wesley Bryan,401219793,1,68.0
Zac Blair,401219793,1,68.0
Troy Merritt,401219793,1,75.0
Ryan Brehm,401219793,1,74.0
Zack Sucher,401219793,1,73.0
Wes Roach,401219793,1,72.0
Sergio Garcia,401219793,1,72.0
Camilo Villegas,401219793,1,72.0
Peter Malnati,401219793,1,71.0
Hank Lebioda,401219793,1,71.0
Erik van Rooyen,401219793,1,70.0
Chase Seiffert,401219793,1,70.0
Shintaro Ban,401219793,1,70.0
Cameron Tringale,401219793,1,70.0
Denny McCarthy,401219793,1,69.0
Mark Hubbard,401219793,1,68.0
Shane Lowry,401219793,1,68.0
Bill Haas,401219793,1,73.0
Sebastian Cappelen,401219793,1,72.0
Rafael Campos,401219793,1,70.0
Kevin Tway,401219793,1,70.0
Talor Gooch,401219793,1,69.0
Wyndham Clark,401219793,1,69.0
Michael Gellerman,401219793,1,69.0
Scott Brown,401219793,1,74.0
K.H. Lee,401219793,1,74.0
Brandt Snedeker,401219793,1,73.0
Jordan Spieth,401219793,1,73.0
Patton Kizzire,401219793,1,72.0
Matt NeSmith,401219793,1,72.0
Peter Uihlein,401219793,1,72.0
Scott Piercy,401219793,1,71.0
Ryan Armour,401219793,1,71.0
Sam Ryder,401219793,1,71.0
Martin Laird,401219793,1,68.0
K.J. Choi,401219793,1,74.0
Rafa Cabrera Bello,401219793,1,74.0
Robert Streb,401219793,1,74.0
Robby Shelton,401219793,1,73.0
Tyler McCumber,401219793,1,73.0
Johnson Wagner,401219793,1,72.0
Scott Stallings,401219793,1,71.0
Martin Trainer,401219793,1,71.0
Kiradech Aphibarnrat,401219793,1,70.0
Dominic Bozzelli,401219793,1,74.0
Tyler Duncan,401219793,1,72.0
Aaron Wise,401219793,1,72.0
Jim Knous,401219793,1,69.0
Fabián Gómez,401219793,1,77.0
Michael Kim,401219793,1,76.0
Séamus Power,401219793,1,75.0
Henrik Norlander,401219793,1,75.0
John Senden,401219793,1,72.0
Roberto Castro,401219793,1,76.0
Joseph Bramlett,401219793,1,75.0
Kelly Kraft,401219793,1,74.0
Matt Every,401219793,1,74.0
Luke Schniederjans,401219793,1,74.0
Alex Cejka,401219793,1,73.0
Hunter Mahan,401219793,1,73.0
George McNeill,401219793,1,72.0
Sangmoon Bae,401219793,1,71.0
Luke Donald,401219793,1,78.0
Nate Lashley,401219793,1,75.0
Graham DeLaet,401219793,1,74.0
Kramer Hickok,401219793,1,73.0
Shawn Stefani,401219793,1,77.0
D.A. Points,401219793,1,74.0
Brian Gay,401219793,1,77.0
Peter Kuest,401219793,1,76.0
"Steve Watanabe, Jr",401219793,1,75.0
Parker McLachlin,401219793,1,78.0
Chad Campbell,401219793,1,75.0
Stewart Cink,401219793,2,70.0
Harry Higgs,401219793,2,62.0
Doc Redman,401219793,2,69.0
Chez Reavie,401219793,2,71.0
Kevin Streelman,401219793,2,66.0
Brian Stuard,401219793,2,67.0
Kris Ventura,401219793,2,66.0
Sam Burns,401219793,2,65.0
J.J. Spaun,401219793,2,68.0
Akshay Bhatia,401219793,2,72.0
Pat Perez,401219793,2,69.0
Russell Knox,401219793,2,69.0
James Hahn,401219793,2,65.0
Chesson Hadley,401219793,2,67.0
Michael Gligic,401219793,2,68.0
Bud Cauley,401219793,2,68.0
David Hearn,401219793,2,69.0
Sepp Straka,401219793,2,66.0
Sahith Theegala,401219793,2,68.0
Xinjun Zhang,401219793,2,67.0
Doug Ghim,401219793,2,66.0
D.J. Trahan,401219793,2,65.0
Beau Hossler,401219793,2,65.0
Vince Whaley,401219793,2,70.0
Nelson Ledesma,401219793,2,68.0
Charl Schwartzel,401219793,2,68.0
Ricky Barnes,401219793,2,66.0
Cameron Percy,401219793,2,68.0
Harold Varner III,401219793,2,71.0
Branden Grace,401219793,2,71.0
Bo Hoag,401219793,2,72.0
Jason Dufner,401219793,2,67.0
Brendan Steele,401219793,2,70.0
Tom Hoge,401219793,2,68.0
Emiliano Grillo,401219793,2,68.0
Cam Davis,401219793,2,68.0
Mark Anderson,401219793,2,69.0
Andrew Putnam,401219793,2,68.0
Rob Oppenheim,401219793,2,66.0
Anirban Lahiri,401219793,2,65.0
Scott Harrington,401219793,2,70.0
Ben Taylor,401219793,2,67.0
Tim Wilkinson,401219793,2,68.0
Si Woo Kim,401219793,2,65.0
Phil Mickelson,401219793,2,67.0
Nick Watney,401219793,2,65.0
Patrick Rodgers,401219793,2,72.0
Jim Furyk,401219793,2,66.0
J.B. Holmes,401219793,2,68.0
Kyle Stanley,401219793,2,69.0
Carlos Ortiz,401219793,2,70.0
Austin Cook,401219793,2,71.0
Joel Dahmen,401219793,2,68.0
Ryan Blaum,401219793,2,67.0
Jhonattan Vegas,401219793,2,68.0
Kevin Chappell,401219793,2,70.0
Hudson Swafford,401219793,2,68.0
Charley Hoffman,401219793,2,71.0
Jamie Lovemark,401219793,2,69.0
Isaiah Salinda,401219793,2,68.0
C.T. Pan,401219793,2,70.0
Adam Schenk,401219793,2,71.0
Will Gordon,401219793,2,67.0
Jonathan Byrd,401219793,2,69.0
Lucas Glover,401219793,2,67.0
Luke List,401219793,2,69.0
William McGirt,401219793,2,69.0
Tom Kim,401219793,2,72.0
Brandon Hagy,401219793,2,70.0
Brice Garnett,401219793,2,70.0
Andy Zhang,401219793,2,72.0
MJ Daffue,401219793,2,65.0
Rhein Gibson,401219793,2,66.0
Roger Sloan,401219793,2,67.0
Grayson Murray,401219793,2,67.0
Aaron Baddeley,401219793,2,68.0
Ted Potter Jr.,401219793,2,68.0
Josh Teater,401219793,2,69.0
Chris Stroud,401219793,2,70.0
Chris Baker,401219793,2,70.0
Maverick McNealy,401219793,2,71.0
Sean O'Hair,401219793,2,71.0
Keegan Bradley,401219793,2,72.0
Wesley Bryan,401219793,2,72.0
