Player,Win_pct,Top10_pct,Top20_pct,Top50_pct,Avg_rank
Scottie Scheffler,40.0,70.0,100.0,100.0,5.0
Xander Schauffele,10.0,40.0,80.0,80.0,34.8
Eric Cole,10.0,20.0,30.0,70.0,41.4
Rico Hoey,10.0,30.0,50.0,80.0,37.8
Patrick Cantlay,10.0,40.0,40.0,60.0,38.9
Max Greyserman,10.0,50.0,70.0,80.0,26.4
Viktor Hovland,10.0,30.0,40.0,80.0,36.4
Martin Laird,0.0,0.0,0.0,0.0,137.3
Matt NeSmith,0.0,0.0,0.0,0.0,191.8
James Hahn,0.0,0.0,0.0,10.0,164.1
Jonathan Byrd,0.0,0.0,0.0,10.0,174.9
Adam Long,0.0,0.0,0.0,0.0,154.0
Marc Leishman,0.0,0.0,0.0,0.0,186.9
Carlos Ortiz,0.0,0.0,0.0,10.0,177.8
Trevor Cone,0.0,0.0,0.0,0.0,153.1
Kramer Hickok,0.0,0.0,0.0,0.0,146.2
Dustin Johnson,0.0,0.0,0.0,0.0,205.7
Hayden Buckley,0.0,0.0,0.0,0.0,153.7
Zach Johnson,0.0,0.0,0.0,0.0,191.5
Troy Merritt,0.0,0.0,0.0,20.0,153.7
Brooks Koepka,0.0,0.0,0.0,0.0,227.7
Ryan Armour,0.0,0.0,0.0,10.0,187.4
Cameron Champ,0.0,0.0,0.0,10.0,141.1
Patrick Reed,0.0,0.0,0.0,0.0,181.8
Ryan Fox,0.0,0.0,0.0,0.0,197.1
William McGirt,0.0,0.0,0.0,0.0,218.9
Callum Tarren,0.0,0.0,10.0,10.0,150.7
MJ Daffue,0.0,0.0,0.0,0.0,229.4
Chez Reavie,0.0,0.0,0.0,0.0,159.0
Min Woo Lee,0.0,0.0,0.0,10.0,164.4
Robert Streb,0.0,0.0,0.0,10.0,154.6
Aaron Baddeley,0.0,0.0,0.0,0.0,164.1
Ian Poulter,0.0,0.0,0.0,0.0,201.8
Vincent Norrman,0.0,0.0,0.0,20.0,142.2
Kevin Chappell,0.0,0.0,0.0,0.0,190.2
Max McGreevy,0.0,0.0,0.0,0.0,157.5
Sergio Garcia,0.0,0.0,0.0,0.0,210.0
Michael Thompson,0.0,0.0,0.0,10.0,159.4
Tyler Duncan,0.0,0.0,0.0,20.0,129.3
Harrison Endycott,0.0,0.0,0.0,0.0,179.8
Will Gordon,0.0,0.0,0.0,10.0,147.6
Doc Redman,0.0,0.0,0.0,0.0,174.6
Kevin Tway,0.0,0.0,0.0,0.0,175.8
Victor Perez,0.0,0.0,0.0,0.0,176.6
Sebastián Muñoz,0.0,0.0,0.0,10.0,137.9
Luke List,0.0,0.0,0.0,0.0,129.9
Antoine Rozner,0.0,0.0,0.0,0.0,229.6
Pat Perez,0.0,0.0,0.0,0.0,177.6
Kevin Streelman,0.0,0.0,10.0,20.0,115.4
Rickie Fowler,0.0,0.0,0.0,30.0,138.3
